id,season,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,venue,city,stage
1,2008,KKR,RCB,RCB,field,KKR,140,0,M Chinnaswamy Stadium,Bangalore,Unknown
2,2008,CSK,PBKS,CSK,bat,CSK,33,0,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Unknown
3,2008,RR,DC,RR,bat,DC,0,9,Feroz Shah Kotla,Delhi,Unknown
4,2008,MI,RCB,MI,bat,RCB,0,5,Wankhede Stadium,Mumbai,Unknown
5,2008,DC_OLD,KKR,DC_OLD,bat,KKR,0,5,Eden Gardens,Kolkata,Unknown
6,2008,PBKS,RR,PBKS,bat,RR,0,6,Sawai Mansingh Stadium,Jaipur,Unknown
7,2008,DC_OLD,DC,DC_OLD,bat,DC,0,9,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
8,2008,CSK,MI,MI,field,CSK,6,0,"MA Chidambaram Stadium, Chepauk",Chennai,Unknown
9,2008,DC_OLD,RR,RR,field,RR,0,3,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
10,2008,PBKS,MI,MI,field,PBKS,66,0,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Unknown
11,2008,RCB,RR,RR,field,RR,0,7,M Chinnaswamy Stadium,Bangalore,Unknown
12,2008,KKR,CSK,KKR,bat,CSK,0,9,"MA Chidambaram Stadium, Chepauk",Chennai,Unknown
13,2008,MI,DC_OLD,DC_OLD,field,DC_OLD,0,10,Dr DY Patil Sports Academy,Mumbai,Unknown
14,2008,DC,PBKS,DC,bat,PBKS,0,4,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Unknown
15,2008,CSK,RCB,CSK,bat,CSK,13,0,M Chinnaswamy Stadium,Bangalore,Unknown
16,2008,KKR,MI,KKR,bat,MI,0,7,Eden Gardens,Kolkata,Unknown
17,2008,DC,RCB,RCB,field,DC,10,0,Feroz Shah Kotla,Delhi,Unknown
18,2008,DC_OLD,PBKS,PBKS,field,PBKS,0,7,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
19,2008,RR,KKR,RR,bat,RR,45,0,Sawai Mansingh Stadium,Jaipur,Unknown
20,2008,CSK,DC,CSK,bat,DC,0,8,"MA Chidambaram Stadium, Chepauk",Chennai,Unknown
21,2008,PBKS,KKR,PBKS,bat,PBKS,9,0,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Unknown
22,2008,RCB,DC_OLD,DC_OLD,field,RCB,3,0,M Chinnaswamy Stadium,Bangalore,Unknown
23,2008,MI,DC,DC,field,MI,29,0,Dr DY Patil Sports Academy,Mumbai,Unknown
24,2008,CSK,RR,CSK,bat,RR,0,8,Sawai Mansingh Stadium,Jaipur,Unknown
25,2008,RCB,PBKS,PBKS,field,PBKS,0,6,M Chinnaswamy Stadium,Bangalore,Unknown
26,2008,CSK,DC_OLD,DC_OLD,field,DC_OLD,0,7,"MA Chidambaram Stadium, Chepauk",Chennai,Unknown
27,2008,RR,MI,MI,field,MI,0,7,Dr DY Patil Sports Academy,Mumbai,Unknown
28,2008,DC,CSK,CSK,field,CSK,0,4,Feroz Shah Kotla,Delhi,Unknown
29,2008,KKR,RCB,KKR,bat,KKR,5,0,Eden Gardens,Kolkata,Unknown
30,2008,DC_OLD,RR,RR,field,RR,0,8,Sawai Mansingh Stadium,Jaipur,Unknown
31,2008,CSK,PBKS,PBKS,field,CSK,18,0,"MA Chidambaram Stadium, Chepauk",Chennai,Unknown
32,2008,KKR,DC_OLD,KKR,bat,KKR,23,0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
33,2008,DC,RR,RR,field,RR,0,3,Sawai Mansingh Stadium,Jaipur,Unknown
34,2008,RCB,PBKS,RCB,bat,PBKS,0,9,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Unknown
35,2008,KKR,DC,KKR,bat,KKR,23,0,Eden Gardens,Kolkata,Unknown
36,2008,CSK,MI,MI,field,MI,0,9,Wankhede Stadium,Mumbai,Unknown
37,2008,DC,DC_OLD,DC_OLD,field,DC,12,0,Feroz Shah Kotla,Delhi,Unknown
38,2008,KKR,MI,MI,field,MI,0,8,Wankhede Stadium,Mumbai,Unknown
39,2008,DC,PBKS,DC,bat,PBKS,6,0,Feroz Shah Kotla,Delhi,Unknown
40,2008,RR,RCB,RCB,field,RR,65,0,Sawai Mansingh Stadium,Jaipur,Unknown
41,2008,MI,DC_OLD,DC_OLD,field,MI,25,0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
42,2008,KKR,CSK,KKR,bat,CSK,3,0,Eden Gardens,Kolkata,Unknown
43,2008,RCB,DC,DC,field,DC,0,5,M Chinnaswamy Stadium,Bangalore,Unknown
44,2008,KKR,RR,RR,field,RR,0,6,Eden Gardens,Kolkata,Unknown
45,2008,PBKS,MI,MI,field,PBKS,1,0,Wankhede Stadium,Mumbai,Unknown
46,2008,RCB,CSK,RCB,bat,RCB,14,0,"MA Chidambaram Stadium, Chepauk",Chennai,Unknown
47,2008,DC_OLD,PBKS,PBKS,field,PBKS,0,6,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Unknown
48,2008,MI,DC,DC,field,DC,0,5,Feroz Shah Kotla,Delhi,Unknown
49,2008,RR,CSK,RR,bat,RR,10,0,"MA Chidambaram Stadium, Chepauk",Chennai,Unknown
50,2008,DC_OLD,RCB,DC_OLD,bat,RCB,0,5,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
51,2008,PBKS,KKR,PBKS,bat,KKR,0,3,Eden Gardens,Kolkata,Unknown
52,2008,MI,RR,RR,field,RR,0,5,Sawai Mansingh Stadium,Jaipur,Unknown
53,2008,DC_OLD,CSK,DC_OLD,bat,CSK,0,7,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
54,2008,RCB,MI,MI,field,MI,0,9,M Chinnaswamy Stadium,Bangalore,Unknown
55,2008,PBKS,RR,RR,field,PBKS,41,0,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Unknown
56,2008,RR,DC,DC,field,RR,105,0,Wankhede Stadium,Mumbai,Semi Final
57,2008,PBKS,CSK,PBKS,bat,CSK,0,9,Wankhede Stadium,Mumbai,Semi Final
58,2008,CSK,RR,RR,field,RR,0,3,Dr DY Patil Sports Academy,Mumbai,Final
59,2009,MI,CSK,CSK,field,MI,19,0,Newlands,Cape Town,Unknown
60,2009,RCB,RR,RCB,bat,RCB,75,0,Newlands,Cape Town,Unknown
61,2009,PBKS,DC,DC,field,DC,0,10,Newlands,Cape Town,Unknown
62,2009,KKR,DC_OLD,KKR,bat,DC_OLD,0,8,Newlands,Cape Town,Unknown
63,2009,CSK,RCB,CSK,bat,CSK,92,0,St George's Park,Port Elizabeth,Unknown
64,2009,PBKS,KKR,KKR,field,KKR,11,0,Kingsmead,Durban,Unknown
65,2009,DC_OLD,RCB,DC_OLD,bat,DC_OLD,24,0,Newlands,Cape Town,Unknown
66,2009,DC,CSK,DC,bat,DC,9,0,Kingsmead,Durban,Unknown
67,2009,RCB,PBKS,RCB,bat,PBKS,0,7,Kingsmead,Durban,Unknown
68,2009,DC_OLD,MI,DC_OLD,bat,DC_OLD,12,0,Kingsmead,Durban,Unknown
69,2009,RCB,DC,RCB,bat,DC,0,6,St George's Park,Port Elizabeth,Unknown
70,2009,PBKS,RR,PBKS,bat,PBKS,27,0,Newlands,Cape Town,Unknown
71,2009,CSK,DC_OLD,DC_OLD,field,DC_OLD,0,6,Kingsmead,Durban,Unknown
72,2009,MI,KKR,MI,bat,MI,92,0,St George's Park,Port Elizabeth,Unknown
73,2009,DC,RR,DC,bat,RR,0,5,SuperSport Park,Centurion,Unknown
74,2009,KKR,RCB,KKR,bat,RCB,0,5,Kingsmead,Durban,Unknown
75,2009,PBKS,MI,PBKS,bat,PBKS,3,0,Kingsmead,Durban,Unknown
76,2009,DC_OLD,DC,DC,field,DC,0,6,SuperSport Park,Centurion,Unknown
77,2009,CSK,RR,RR,field,CSK,38,0,SuperSport Park,Centurion,Unknown
78,2009,MI,KKR,MI,bat,MI,9,0,Buffalo Park,East London,Unknown
79,2009,RCB,PBKS,RCB,bat,RCB,8,0,Kingsmead,Durban,Unknown
80,2009,DC_OLD,RR,DC_OLD,bat,RR,0,3,St George's Park,Port Elizabeth,Unknown
81,2009,CSK,DC,DC,field,CSK,18,0,New Wanderers Stadium,Johannesburg,Unknown
82,2009,KKR,PBKS,KKR,bat,PBKS,0,6,St George's Park,Port Elizabeth,Unknown
83,2009,MI,RCB,MI,bat,RCB,0,9,New Wanderers Stadium,Johannesburg,Unknown
84,2009,CSK,DC_OLD,CSK,bat,CSK,78,0,Buffalo Park,East London,Unknown
85,2009,RR,PBKS,PBKS,field,RR,78,0,Kingsmead,Durban,Unknown
86,2009,KKR,DC,KKR,bat,DC,0,9,Kingsmead,Durban,Unknown
87,2009,DC_OLD,MI,DC_OLD,bat,DC_OLD,19,0,SuperSport Park,Centurion,Unknown
88,2009,RCB,RR,RR,field,RR,0,7,SuperSport Park,Centurion,Unknown
89,2009,CSK,PBKS,CSK,bat,CSK,12,0,SuperSport Park,Centurion,Unknown
90,2009,MI,DC,MI,bat,DC,0,7,Buffalo Park,East London,Unknown
91,2009,DC_OLD,PBKS,PBKS,field,PBKS,0,3,De Beers Diamond Oval,Kimberley,Unknown
