season,player_name,team,role,batting_avg,batting_sr,runs_scored,wickets,bowling_avg,economy
2008,A Kumble,RCB,Bowl,0.0,0.0,0.0,7.0,42.0,7.669565217391304
2008,A Mishra,DC,Bowl,0.0,0.0,0.0,11.0,12.181818181818182,6.756302521008403
2008,A Nehra,MI,Bowl,0.0,0.0,0.0,12.0,27.666666666666668,7.405204460966543
2008,A Symonds,DC_OLD,Bat,80.5,153.33333333333334,161.0,0.0,0.0,0.0
2008,AB Agarkar,KKR,All,10.8,117.3913043478261,54.0,8.0,24.375,7.5
2008,AB Dinda,KKR,Bowl,0.0,0.0,0.0,9.0,27.22222222222222,6.282051282051282
2008,AB de Villiers,DC,Bat,19.0,96.93877551020408,95.0,0.0,0.0,0.0
2008,AC Gilchrist,DC_OLD,Bat,33.53846153846154,137.1069182389937,436.0,0.0,0.0,0.0
2008,AM Nayar,MI,Bat,25.75,149.27536231884056,206.0,0.0,0.0,0.0
2008,B Lee,PBKS,Bowl,0.0,0.0,0.0,4.0,26.0,6.5
2008,BB McCullum,KKR,Bat,62.666666666666664,204.34782608695653,188.0,0.0,0.0,0.0
2008,CL White,RCB,Bat,16.285714285714285,111.76470588235294,114.0,0.0,0.0,0.0
2008,CRD Fernando,MI,Bowl,0.0,0.0,0.0,10.0,15.1,7.55
2008,DB Das,KKR,Bat,17.166666666666668,109.57446808510637,103.0,0.0,0.0,0.0
2008,DB Ravi Teja,DC_OLD,Bat,18.166666666666668,132.9268292682927,109.0,0.0,0.0,0.0
2008,DJ Bravo,MI,All,29.666666666666668,132.8358208955224,178.0,11.0,20.181818181818183,7.7894736842105265
2008,DJ Hussey,KKR,Bat,29.0,123.16602316602317,319.0,0.0,0.0,0.0
2008,DJ Thornely,MI,Bowl,0.0,0.0,0.0,3.0,12.666666666666666,5.428571428571429
2008,DP Vijaykumar,DC_OLD,Bowl,0.0,0.0,0.0,4.0,47.5,7.5
2008,DPMD Jayawardene,PBKS,Bat,25.571428571428573,136.64122137404578,179.0,0.0,0.0,0.0
2008,DR Smith,MI,Bowl,0.0,0.0,0.0,5.0,15.2,6.909090909090909
2008,DS Kulkarni,MI,Bowl,0.0,0.0,0.0,11.0,19.09090909090909,7.11864406779661
2008,DW Steyn,RCB,Bowl,0.0,0.0,0.0,10.0,22.2,5.842105263157895
2008,G Gambhir,DC,Bat,41.07692307692308,140.89709762532982,534.0,0.0,0.0,0.0
2008,GC Smith,RR,Bat,49.0,121.82320441988949,441.0,0.0,0.0,0.0
2008,GD McGrath,DC,Bowl,0.0,0.0,0.0,12.0,29.25,6.5
2008,Gagandeep Singh,PBKS,Bowl,0.0,0.0,0.0,3.0,47.0,10.071428571428571
2008,HH Gibbs,DC_OLD,Bat,18.555555555555557,109.15032679738562,167.0,0.0,0.0,0.0
2008,Harbhajan Singh,MI,Bowl,0.0,0.0,0.0,5.0,15.8,7.9
2008,I Sharma,KKR,Bowl,0.0,0.0,0.0,7.0,42.857142857142854,7.114624505928854
2008,IK Pathan,PBKS,All,21.833333333333332,112.93103448275863,131.0,15.0,22.066666666666666,6.245283018867925
2008,JA Morkel,CSK,All,34.42857142857143,147.8527607361963,241.0,17.0,21.764705882352942,7.708333333333333
2008,JDP Oram,CSK,Bowl,0.0,0.0,0.0,3.0,48.333333333333336,9.0625
2008,JH Kallis,RCB,All,18.09090909090909,108.74316939890711,199.0,4.0,75.5,8.796116504854368
2008,JR Hopes,PBKS,All,20.09090909090909,149.32432432432432,221.0,7.0,39.0,9.75
2008,Joginder Sharma,CSK,Bowl,0.0,0.0,0.0,8.0,27.0,8.756756756756756
2008,K Goel,PBKS,Bat,12.666666666666666,97.43589743589743,76.0,0.0,0.0,0.0
2008,KC Sangakkara,PBKS,Bat,35.55555555555556,161.6161616161616,320.0,0.0,0.0,0.0
2008,KD Karthik,DC,Bat,24.166666666666668,135.5140186915888,145.0,0.0,0.0,0.0
2008,Kamran Akmal,RR,Bat,25.6,164.1025641025641,128.0,0.0,0.0,0.0
2008,L Balaji,CSK,Bowl,0.0,0.0,0.0,11.0,25.272727272727273,8.424242424242424
2008,LA Pomersbach,PBKS,Bat,152.0,153.53535353535352,152.0,0.0,0.0,0.0
2008,LR Shukla,KKR,All,20.375,133.60655737704917,163.0,6.0,18.5,9.25
2008,LRPL Taylor,RCB,Bat,37.25,183.9506172839506,149.0,0.0,0.0,0.0
2008,M Kaif,RR,Bat,16.0,102.92397660818713,176.0,0.0,0.0,0.0
2008,M Kartik,KKR,Bowl,0.0,0.0,0.0,3.0,42.0,8.590909090909092
2008,M Muralitharan,CSK,Bowl,0.0,0.0,0.0,11.0,34.27272727272727,6.5
2008,M Ntini,CSK,Bowl,0.0,0.0,0.0,7.0,33.857142857142854,6.771428571428571
2008,MEK Hussey,CSK,Bat,84.0,168.0,168.0,0.0,0.0,0.0
2008,MF Maharoof,DC,All,20.833333333333332,158.22784810126583,125.0,15.0,15.866666666666667,6.611111111111111
2008,MK Tiwary,DC,Bat,26.0,122.3529411764706,104.0,0.0,0.0,0.0
2008,ML Hayden,CSK,Bat,63.0,144.27480916030535,189.0,0.0,0.0,0.0
2008,MM Patel,RR,Bowl,0.0,0.0,0.0,14.0,29.142857142857142,7.418181818181818
2008,MS Dhoni,CSK,Bat,41.4,133.54838709677418,414.0,0.0,0.0,0.0
2008,MS Gony,CSK,Bowl,0.0,0.0,0.0,17.0,25.352941176470587,7.183333333333334
2008,MV Boucher,RCB,Bat,32.142857142857146,127.11864406779661,225.0,0.0,0.0,0.0
2008,Misbah-ul-Haq,RCB,Bat,16.714285714285715,144.44444444444443,117.0,0.0,0.0,0.0
2008,Mohammad Asif,DC,Bowl,0.0,0.0,0.0,8.0,36.0,9.0
2008,Mohammad Hafeez,KKR,Bat,9.142857142857142,77.10843373493977,64.0,0.0,0.0,0.0
2008,NK Patel,RR,Bat,51.5,127.16049382716051,103.0,0.0,0.0,0.0
2008,P Amarnath,CSK,Bowl,0.0,0.0,0.0,7.0,33.714285714285715,10.727272727272727
2008,P Kumar,RCB,All,11.2,114.28571428571428,112.0,11.0,32.0,7.880597014925374
2008,PA Patel,CSK,Bat,27.454545454545453,101.68350168350169,302.0,0.0,0.0,0.0
2008,PJ Sangwan,DC,Bowl,0.0,0.0,0.0,5.0,39.8,8.291666666666666
2008,PP Chawla,PBKS,All,22.5,152.54237288135593,90.0,17.0,22.058823529411764,8.00711743772242
2008,PP Ojha,DC_OLD,Bowl,0.0,0.0,0.0,10.0,26.4,7.135135135135135
2008,R Bhatia,DC,Bowl,0.0,0.0,0.0,6.0,30.0,8.181818181818182
2008,R Dravid,RCB,Bat,28.53846153846154,124.496644295302,371.0,0.0,0.0,0.0
2008,R Vinay Kumar,RCB,Bowl,0.0,0.0,0.0,5.0,35.0,7.608695652173913
2008,RA Jadeja,RR,Bat,19.285714285714285,131.06796116504856,135.0,0.0,0.0,0.0
2008,RG Sharma,DC_OLD,Bat,36.72727272727273,147.985347985348,404.0,0.0,0.0,0.0
2008,RP Singh,DC_OLD,Bowl,0.0,0.0,0.0,15.0,28.266666666666666,8.259740259740258
2008,RR Powar,PBKS,Bowl,0.0,0.0,0.0,3.0,28.666666666666668,7.166666666666667
2008,RR Raje,MI,Bowl,0.0,0.0,0.0,5.0,26.4,8.081632653061225
2008,RR Sarwan,PBKS,Bat,18.25,97.33333333333334,73.0,0.0,0.0,0.0
2008,RV Uthappa,MI,Bat,35.55555555555556,114.6953405017921,320.0,0.0,0.0,0.0
2008,S Badrinath,CSK,Bat,32.0,147.6923076923077,192.0,0.0,0.0,0.0
2008,S Dhawan,DC,Bat,37.77777777777778,115.2542372881356,340.0,0.0,0.0,0.0
2008,S Sreesanth,PBKS,Bowl,0.0,0.0,0.0,19.0,21.157894736842106,7.856677524429967
2008,S Vidyut,CSK,Bat,18.125,133.0275229357798,145.0,0.0,0.0,0.0
2008,SA Asnodkar,RR,Bat,34.55555555555556,133.4763948497854,311.0,0.0,0.0,0.0
2008,SB Bangar,DC_OLD,Bowl,0.0,0.0,0.0,4.0,53.0,8.48
2008,SB Styris,DC_OLD,All,18.666666666666668,91.05691056910568,112.0,3.0,64.66666666666667,7.185185185185185
2008,SC Ganguly,KKR,All,29.083333333333332,113.68078175895766,349.0,6.0,21.166666666666668,6.35
2008,SE Marsh,PBKS,Bat,68.44444444444444,139.68253968253967,616.0,0.0,0.0,0.0
2008,SK Raina,CSK,Bat,38.27272727272727,142.71186440677965,421.0,0.0,0.0,0.0
2008,SK Trivedi,RR,Bowl,0.0,0.0,0.0,13.0,29.692307692307693,8.041666666666666
2008,SK Warne,RR,All,14.0,118.64406779661016,70.0,19.0,20.789473684210527,7.596153846153846
2008,SM Katich,PBKS,Bat,96.0,139.1304347826087,96.0,0.0,0.0,0.0
2008,SM Pollock,MI,All,18.375,132.43243243243242,147.0,11.0,27.0,6.456521739130435
2008,SP Fleming,CSK,Bat,21.77777777777778,118.7878787878788,196.0,0.0,0.0,0.0
2008,SP Goswami,RCB,Bat,27.333333333333332,96.47058823529412,82.0,0.0,0.0,0.0
2008,SR Tendulkar,MI,Bat,31.333333333333332,106.21468926553672,188.0,0.0,0.0,0.0
2008,SR Watson,RR,All,47.2,151.7684887459807,472.0,17.0,21.235294117647058,6.664615384615385
2008,ST Jayasuriya,MI,All,42.833333333333336,166.3430420711974,514.0,4.0,39.5,7.523809523809524
2008,Salman Butt,KKR,Bat,27.571428571428573,119.87577639751552,193.0,0.0,0.0,0.0
2008,Shahid Afridi,DC_OLD,All,10.125,176.08695652173913,81.0,9.0,24.444444444444443,7.333333333333333
2008,Shoaib Akhtar,KKR,Bowl,0.0,0.0,0.0,5.0,10.0,7.142857142857143
2008,Shoaib Malik,DC,Bat,13.0,110.63829787234043,52.0,0.0,0.0,0.0
2008,Sohail Tanvir,RR,Bowl,0.0,0.0,0.0,22.0,11.181818181818182,5.9757085020242915
2008,TM Dilshan,DC,Bat,17.333333333333332,131.64556962025316,104.0,0.0,0.0,0.0
2008,Umar Gul,KKR,Bowl,0.0,0.0,0.0,12.0,13.25,7.066666666666666
2008,V Kohli,RCB,Bat,15.0,105.09554140127389,165.0,0.0,0.0,0.0
2008,V Sehwag,DC,All,33.833333333333336,184.54545454545453,406.0,3.0,44.0,12.0
2008,VRV Singh,PBKS,Bowl,0.0,0.0,0.0,11.0,36.63636363636363,8.395833333333334
2008,VVS Laxman,DC_OLD,Bat,31.0,117.42424242424244,155.0,0.0,0.0,0.0
2008,VY Mahesh,DC,Bowl,0.0,0.0,0.0,16.0,21.3125,8.08695652173913
2008,W Jaffer,RCB,Bat,19.166666666666668,110.57692307692308,115.0,0.0,0.0,0.0
2008,WP Saha,KKR,Bat,31.8,133.61344537815125,159.0,0.0,0.0,0.0
2008,WPUJC Vaas,DC_OLD,Bowl,0.0,0.0,0.0,5.0,28.8,8.470588235294118
2008,Y Venugopal Rao,DC_OLD,Bat,36.0,137.14285714285714,288.0,0.0,0.0,0.0
2008,YK Pathan,RR,All,31.071428571428573,179.01234567901236,435.0,8.0,28.625,8.1301775147929
2008,YV Takawale,MI,Bat,35.0,107.6923076923077,70.0,0.0,0.0,0.0
2008,Yuvraj Singh,PBKS,All,23.0,162.5,299.0,3.0,27.0,9.0
2008,Z Khan,RCB,Bowl,0.0,0.0,0.0,13.0,26.692307692307693,8.261904761904763
2009,A Flintoff,CSK,Bat,31.0,116.98113207547169,62.0,0.0,0.0,0.0
2009,A Kumble,RCB,Bowl,0.0,0.0,0.0,21.0,16.19047619047619,5.746478873239437
2009,A Mishra,DC,Bowl,0.0,0.0,0.0,14.0,20.214285714285715,6.711462450592886
2009,A Nehra,DC,Bowl,0.0,0.0,0.0,19.0,16.842105263157894,6.2745098039215685
2009,A Singh,RR,Bowl,0.0,0.0,0.0,9.0,10.222222222222221,5.257142857142857
2009,A Symonds,DC_OLD,All,35.57142857142857,150.0,249.0,7.0,22.285714285714285,6.5
2009,AA Bilakhia,DC_OLD,Bat,16.75,82.71604938271605,67.0,0.0,0.0,0.0
2009,AB Agarkar,KKR,All,33.0,115.78947368421053,66.0,6.0,45.0,8.709677419354838
2009,AB Dinda,KKR,Bowl,0.0,0.0,0.0,4.0,46.75,7.791666666666667
2009,AB de Villiers,DC,Bat,51.666666666666664,130.98591549295776,465.0,0.0,0.0,0.0
2009,AC Gilchrist,DC_OLD,Bat,30.9375,152.3076923076923,495.0,0.0,0.0,0.0
2009,AD Mascarenhas,RR,Bowl,0.0,0.0,0.0,6.0,22.0,6.8275862068965525
2009,AM Nayar,MI,All,21.444444444444443,126.9736842105263,193.0,4.0,19.75,6.583333333333333
2009,AM Rahane,MI,Bat,24.0,117.07317073170731,144.0,0.0,0.0,0.0
2009,AM Salvi,DC,Bowl,0.0,0.0,0.0,4.0,31.5,7.411764705882353
2009,AS Raut,RR,Bat,19.5,127.86885245901641,78.0,0.0,0.0,0.0
2009,B Akhil,RCB,Bowl,0.0,0.0,0.0,4.0,19.25,7.0
2009,B Lee,PBKS,Bowl,0.0,0.0,0.0,5.0,18.6,4.65
2009,BAW Mendis,KKR,Bowl,0.0,0.0,0.0,3.0,44.333333333333336,7.9799999999999995
2009,BB McCullum,KKR,Bat,23.833333333333332,119.16666666666667,286.0,0.0,0.0,0.0
2009,BJ Hodge,KKR,All,40.55555555555556,117.74193548387098,365.0,7.0,21.857142857142858,7.65
2009,CH Gayle,KKR,Bat,26.285714285714285,124.32432432432432,184.0,0.0,0.0,0.0
2009,CK Langeveldt,KKR,Bowl,0.0,0.0,0.0,3.0,4.666666666666667,3.5
2009,D du Preez,RCB,Bowl,0.0,0.0,0.0,4.0,13.25,7.571428571428571
2009,DA Warner,DC,Bat,23.285714285714285,123.48484848484848,163.0,0.0,0.0,0.0
2009,DB Ravi Teja,DC_OLD,Bat,21.666666666666668,92.85714285714286,65.0,0.0,0.0,0.0
2009,DJ Bravo,MI,All,27.25,107.38916256157636,218.0,11.0,22.363636363636363,7.417085427135679
2009,DJ Hussey,KKR,Bat,24.5,166.10169491525423,98.0,0.0,0.0,0.0
2009,DL Vettori,DC,Bowl,0.0,0.0,0.0,7.0,25.571428571428573,7.726618705035971
2009,DP Nannes,DC,Bowl,0.0,0.0,0.0,15.0,23.266666666666666,7.05050505050505
2009,DPMD Jayawardene,PBKS,Bat,36.5,132.72727272727275,219.0,0.0,0.0,0.0
2009,DR Smith,DC_OLD,Bat,26.875,162.87878787878788,215.0,0.0,0.0,0.0
2009,DS Kulkarni,MI,Bowl,0.0,0.0,0.0,5.0,39.6,7.615384615384615
2009,FH Edwards,DC_OLD,Bowl,0.0,0.0,0.0,5.0,28.0,6.0
2009,G Gambhir,DC,Bat,22.0,102.87769784172663,286.0,0.0,0.0,0.0
2009,GC Smith,RR,Bat,19.272727272727273,98.14814814814815,212.0,0.0,0.0,0.0
2009,HH Gibbs,DC_OLD,Bat,33.72727272727273,112.08459214501512,371.0,0.0,0.0,0.0
2009,Harbhajan Singh,MI,All,10.5,158.49056603773585,84.0,11.0,22.90909090909091,5.7272727272727275
2009,Harmeet Singh,DC_OLD,Bowl,0.0,0.0,0.0,3.0,62.333333333333336,8.18978102189781
2009,I Sharma,KKR,Bowl,0.0,0.0,0.0,11.0,24.90909090909091,6.372093023255814
2009,IK Pathan,PBKS,All,19.6,124.0506329113924,196.0,17.0,22.235294117647058,7.509933774834437
2009,J Botha,RR,Bowl,0.0,0.0,0.0,3.0,22.333333333333332,5.583333333333333
2009,JA Morkel,CSK,All,24.25,138.57142857142856,97.0,13.0,23.76923076923077,7.725
